participant_id,task,stimuli_number,trial_number,layout,orientation,correct,response,duration,time_when
67f9be2680bce2690605a939,compare_height,23,0,horizontal,vertical,1,2,1377.3,34:42.6
67eb4effae47ce8d18f8c833,compare_height,41,15,horizontal,horizontal,0,2,38.4000001,34:45.2
67f9be2680bce2690605a939,compare_height,6,1,horizontal,vertical,1,1,1038.4,34:44.5
67eb4effae47ce8d18f8c833,compare_height,56,16,horizontal,horizontal,1,2,112.3,34:46.2
67eb4effae47ce8d18f8c833,compare_height,49,17,horizontal,horizontal,1,2,59.20000005,34:47.1
67f9be2680bce2690605a939,compare_height,7,2,horizontal,vertical,1,1,859.7,34:46.2
67eb4effae47ce8d18f8c833,compare_height,43,18,horizontal,horizontal,0,2,2.599999905,34:47.9
67eb4effae47ce8d18f8c833,compare_height,50,19,horizontal,horizontal,1,2,236.8,34:49.0
67f9be2680bce2690605a939,compare_height,27,3,horizontal,vertical,1,2,1171.5,34:48.2
67eb4effae47ce8d18f8c833,compare_height,35,20,horizontal,horizontal,0,2,93.9000001,34:50.0
67eb4effae47ce8d18f8c833,compare_height,51,21,horizontal,horizontal,1,2,11.4000001,34:50.9
67f9be2680bce2690605a939,compare_height,22,4,horizontal,vertical,1,2,1367.4,34:50.4
67eb4effae47ce8d18f8c833,compare_height,47,22,horizontal,horizontal,0,2,185.1000001,34:51.9
67eb4effae47ce8d18f8c833,compare_height,-999,23,horizontal,horizontal,0,2,1.5,34:52.8
67f9be2680bce2690605a939,compare_height,-999,5,horizontal,vertical,1,1,1002.2,34:52.3
67eb4effae47ce8d18f8c833,compare_height,38,24,horizontal,horizontal,0,2,223.8000002,34:53.8
67eb4effae47ce8d18f8c833,compare_height,32,25,horizontal,horizontal,0,2,2,34:54.7
67f9be2680bce2690605a939,compare_height,14,6,horizontal,vertical,1,1,1225.2,34:54.4
67eb4effae47ce8d18f8c833,compare_height,54,26,horizontal,horizontal,1,2,1.599999905,34:55.5
67eb4effae47ce8d18f8c833,compare_height,53,27,horizontal,horizontal,1,2,612.8,34:57.0
67f9be2680bce2690605a939,compare_height,31,7,horizontal,vertical,1,2,1602.4,34:56.8
67eb4effae47ce8d18f8c833,compare_height,40,28,horizontal,horizontal,0,2,294.5999999,34:58.2
67eb4effae47ce8d18f8c833,compare_height,52,29,horizontal,horizontal,1,2,134,34:59.1
67f9be2680bce2690605a939,compare_height,20,8,horizontal,vertical,1,2,1262,34:58.9
67eb4effae47ce8d18f8c833,compare_height,48,30,horizontal,horizontal,1,2,0.900000095,35:00.0
67eb4effae47ce8d18f8c833,compare_height,39,31,horizontal,horizontal,0,2,320.4000001,35:01.1
67eb4effae47ce8d18f8c833,compare_height,-999,32,horizontal,horizontal,0,2,332.5999999,35:02.3
67f9be2680bce2690605a939,compare_height,29,9,horizontal,vertical,1,2,2338.9,35:02.1
67eb4effae47ce8d18f8c833,compare_height,45,33,horizontal,horizontal,0,2,243.0999999,35:03.4
67eb4effae47ce8d18f8c833,compare_height,37,34,horizontal,horizontal,0,2,177.4000001,35:04.5
67f9be2680bce2690605a939,compare_height,18,10,horizontal,vertical,1,2,1310.1,35:04.3
67eb4effae47ce8d18f8c833,compare_height,46,35,horizontal,horizontal,0,2,548.1000001,35:05.9
67f9be2680bce2690605a939,compare_height,12,11,horizontal,vertical,1,1,1226.6,35:06.4
67f9be2680bce2690605a939,compare_height,2,12,horizontal,vertical,1,1,1130.5,35:08.4
67f9be2680bce2690605a939,compare_height,11,13,horizontal,vertical,1,1,1004.5,35:10.2
67f9be2680bce2690605a939,compare_height,-999,14,horizontal,vertical,1,2,868.1,35:11.9
67f9be2680bce2690605a939,compare_height,21,15,horizontal,vertical,1,2,1231.5,35:14.0
67f9be2680bce2690605a939,compare_height,25,16,horizontal,vertical,1,2,1477.7,35:16.3
67f9be2680bce2690605a939,compare_height,4,17,horizontal,vertical,1,1,1211.4,35:18.4
67f9be2680bce2690605a939,compare_height,9,27,horizontal,vertical,1,1,1162,35:39.7
67f9be2680bce2690605a939,compare_height,24,28,horizontal,vertical,1,2,1422.8,35:41.9
67f9be2680bce2690605a939,compare_height,30,30,horizontal,vertical,1,2,1224.3,35:45.8
67f9be2680bce2690605a939,compare_height,15,31,horizontal,vertical,1,1,1127.2,35:47.8
67f9be2680bce2690605a939,compare_height,-999,32,horizontal,vertical,1,1,1113.2,35:49.7
67f9be2680bce2690605a939,compare_height,0,33,horizontal,vertical,1,1,1173.9,35:51.8
67f9be2680bce2690605a939,compare_height,19,34,horizontal,vertical,1,2,1045.8,35:53.6
67f9be2680bce2690605a939,compare_height,26,35,horizontal,vertical,1,2,1486,35:56.0
5b5a822e1ad8270001c4f28d,compare_index,60,35,vertical,vertical,1,2,1347.4,46:24.2
670391e01385e6794f0eff25,compare_length,77,13,horizontal,horizontal,1,2,1058,46:27.7
6562421abbbe0dc4b89ad4ff,compare_height,104,24,horizontal,horizontal,1,1,1400,46:30.4
670391e01385e6794f0eff25,compare_length,76,15,horizontal,horizontal,1,2,1089.6,46:31.4
67e9708573d8edf10ceb34e0,compare_length,14,2,vertical,vertical,1,2,1208.8,48:00.4
67f2fedba25aeb3a05799a40,compare_index,0,12,vertical,horizontal,1,1,863.1,48:01.4
67efaf86559b069f5e720317,compare_index,15,21,vertical,horizontal,0,1,1683.9,47:44.1
5b5a822e1ad8270001c4f28d,compare_index,76,2,horizontal,horizontal,0,1,1176.2,48:02.9
67d10200d80c3405f93783de,compare_length,29,16,vertical,horizontal,1,2,1756.6,47:20.6
67e9708573d8edf10ceb34e0,compare_length,15,3,vertical,vertical,1,2,1312.6,48:02.6
67f2fedba25aeb3a05799a40,compare_index,7,13,vertical,horizontal,1,1,1513.9,48:03.7
5b5a822e1ad8270001c4f28d,compare_index,90,3,horizontal,horizontal,1,2,1238.6,48:05.0
67e9708573d8edf10ceb34e0,compare_length,12,7,vertical,vertical,1,2,2478.2,48:12.3
67f2fedba25aeb3a05799a40,compare_index,8,17,vertical,horizontal,1,2,1704.5,48:12.7
670391e01385e6794f0eff25,compare_length,117,3,vertical,horizontal,1,2,1919.3,48:13.7
67d10200d80c3405f93783de,compare_length,12,20,vertical,horizontal,1,2,1594.5,47:30.7
5b5a822e1ad8270001c4f28d,compare_index,78,8,horizontal,horizontal,1,2,1165.3,48:13.7
5b5a822e1ad8270001c4f28d,compare_index,81,9,horizontal,horizontal,1,1,828.7,48:15.4
67efaf86559b069f5e720317,compare_index,26,26,vertical,horizontal,1,2,1452.3,47:56.9
67f2fedba25aeb3a05799a40,compare_index,14,18,vertical,horizontal,1,2,1414.5,48:14.9
